rep,method,k,n,h,value
4,LP1,1,200,0.15000000000000002,11.991130456523088
4,SPARR,1,200,0.15000000000000002,1.7820328843827709
4,LP0,1,200,0.17,0.21391585888892728
4,LP1,1,200,0.17,7.632883570443021
4,SPARR,1,200,0.17,2.9534318349449475
4,LP0,1,200,0.19,0.998216741461225
4,LP1,1,200,0.19,9.020119491654972
4,SPARR,1,200,0.19,4.268371105802243
4,LP0,1,200,0.21000000000000002,0.5922141892989569
4,LP1,1,200,0.21000000000000002,1.5831727116188112
4,SPARR,1,200,0.21000000000000002,5.668683362762855
4,LP0,1,200,0.23,1.5598741811342418
4,LP1,1,200,0.23,3.5844182624618255
4,SPARR,1,200,0.23,7.101733133021737
4,LP0,1,200,0.25,3.25688455619079
4,LP1,1,200,0.25,6.757256272173084
4,SPARR,1,200,0.25,8.518559364547126
5,LP0,1,200,0.01,34.90191809561218
5,LP1,1,200,0.01,34.90191809561218
5,SPARR,1,200,0.01,34.901918095612075
5,LP0,1,200,0.03,34.90191809561218
5,LP1,1,200,0.03,34.90191809561218
5,SPARR,1,200,0.03,33.32615551105564
5,LP0,1,200,0.05,34.90191809561218
5,LP1,1,200,0.05,34.90191809561218
5,SPARR,1,200,0.05,24.488904356907707
5,LP0,1,200,0.06999999999999999,34.90191809561218
5,LP1,1,200,0.06999999999999999,34.90191809561218
5,SPARR,1,200,0.06999999999999999,19.858674508800323
5,LP0,1,200,0.09,12.236699789361259
5,LP1,1,200,0.09,71.60976057191264
5,SPARR,1,200,0.09,18.24774585452351
5,LP0,1,200,0.11,12.116386700486506
5,LP1,1,200,0.11,49.01610170025964
5,SPARR,1,200,0.11,17.744902907469164
5,LP0,1,200,0.13,12.860295765702412
5,LP1,1,200,0.13,31.808480961202655
5,SPARR,1,200,0.13,17.688085126329238
5,LP0,1,200,0.15000000000000002,10.811241925111617
5,LP1,1,200,0.15000000000000002,32.56147316216484
5,SPARR,1,200,0.15000000000000002,17.86549236411522
5,LP0,1,200,0.17,14.944461665677789
5,LP1,1,200,0.17,13.522656421045607
5,SPARR,1,200,0.17,18.186538818480926
5,LP0,1,200,0.19,18.246216404682524
5,LP1,1,200,0.19,7.624208843415346
5,SPARR,1,200,0.19,18.610946204610112
5,LP0,1,200,0.21000000000000002,18.870122319049536
5,LP1,1,200,0.21000000000000002,8.939022483546228
5,SPARR,1,200,0.21000000000000002,19.116262290402812
5,LP0,1,200,0.23,19.509511230978397
5,LP1,1,200,0.23,9.316394060248413
5,SPARR,1,200,0.23,19.67818587499609
5,LP0,1,200,0.25,16.112564113643703
5,LP1,1,200,0.25,20.465658317220274
5,SPARR,1,200,0.25,20.26417012790715
6,LP0,1,200,0.01,34.90191809561218
6,LP1,1,200,0.01,34.90191809561218
6,SPARR,1,200,0.01,19.60375154064325
6,LP0,1,200,0.03,20.235705502138977
6,LP1,1,200,0.03,588.4997382449416
6,SPARR,1,200,0.03,1.1166285910748202
6,LP0,1,200,0.05,3.1446316049381084
6,LP1,1,200,0.05,8.403961201878555
6,SPARR,1,200,0.05,0.06667576344324425
6,LP0,1,200,0.06999999999999999,0.0015336870701814372
6,LP1,1,200,0.06999999999999999,10.67053612523703
6,SPARR,1,200,0.06999999999999999,0.003215611986016469
6,LP0,1,200,0.09,0.01355551776279744
6,LP1,1,200,0.09,2.4799672510762814
6,SPARR,1,200,0.09,0.16517537933795423
6,LP0,1,200,0.11,1.1107801858442539
6,LP1,1,200,0.11,0.033559758399186394
6,SPARR,1,200,0.11,0.7738860544675248
6,LP0,1,200,0.13,0.22731720185190107
6,LP1,1,200,0.13,0.22065999911058662
6,SPARR,1,200,0.13,1.606341271187462
6,LP0,1,200,0.15000000000000002,0.053676952600412046
6,LP1,1,200,0.15000000000000002,1.4539899713824587
6,SPARR,1,200,0.15000000000000002,2.5095329365847117
6,LP0,1,200,0.17,0.6445521008933357
6,LP1,1,200,0.17,5.767175253176687
6,SPARR,1,200,0.17,3.460433139476141
6,LP0,1,200,0.19,2.3855311558279215
6,LP1,1,200,0.19,9.4794372600301
6,SPARR,1,200,0.19,4.467124078381017
6,LP0,1,200,0.21000000000000002,2.7661003735984404
6,LP1,1,200,0.21000000000000002,4.085424437551073
6,SPARR,1,200,0.21000000000000002,5.527699309763337
6,LP0,1,200,0.23,4.7555235434409715
6,LP1,1,200,0.23,0.7866759911418608
6,SPARR,1,200,0.23,6.627570053452549
6,LP0,1,200,0.25,3.851389045240633
6,LP1,1,200,0.25,1.038216041266637
6,SPARR,1,200,0.25,7.744561819930041
7,LP0,1,200,0.01,34.90191809561218
7,LP1,1,200,0.01,34.90191809561218
7,SPARR,1,200,0.01,12.603149652996951
7,LP0,1,200,0.03,20.235705502138977
7,LP1,1,200,0.03,183.12186266110245
7,SPARR,1,200,0.03,6.123387447689575
7,LP0,1,200,0.05,31.51540883959827
7,LP1,1,200,0.05,73.77647493432367
7,SPARR,1,200,0.05,2.9212429004082083
7,LP0,1,200,0.06999999999999999,4.086373036948301
7,LP1,1,200,0.06999999999999999,190.15143600804845
7,SPARR,1,200,0.06999999999999999,0.16484414082366672
7,LP0,1,200,0.09,0.01355551776279744
7,LP1,1,200,0.09,149.09364642155035
7,SPARR,1,200,0.09,0.28905979671368226
7,LP0,1,200,0.11,0.31811188746242525
7,LP1,1,200,0.11,57.95810209460053
7,SPARR,1,200,0.11,1.3060781677963624
7,LP0,1,200,0.13,0.010740593038995128
7,LP1,1,200,0.13,34.56381714819435
7,SPARR,1,200,0.13,2.437088885974073
7,LP0,1,200,0.15000000000000002,2.376384064809901
7,LP1,1,200,0.15000000000000002,46.6240214562363
7,SPARR,1,200,0.15000000000000002,3.5831302039362902
7,LP0,1,200,0.17,2.2007701440184704
7,LP1,1,200,0.17,19.744445048398198
7,SPARR,1,200,0.17,4.775611245758849
7,LP0,1,200,0.19,3.3022911924368
7,LP1,1,200,0.19,14.603588148680263
7,SPARR,1,200,0.19,6.036336248842976
7,LP0,1,200,0.21000000000000002,3.559112633021035
7,LP1,1,200,0.21000000000000002,5.973073904220034
7,SPARR,1,200,0.21000000000000002,7.360984979451711
7,LP0,1,200,0.23,5.6030189811376525
7,LP1,1,200,0.23,7.02322901110506
7,SPARR,1,200,0.23,8.724899624574666
7,LP0,1,200,0.25,5.9337563614509365
7,LP1,1,200,0.25,2.4956633424465346
7,SPARR,1,200,0.25,10.091213943766311
8,LP0,1,200,0.01,34.90191809561218
8,LP1,1,200,0.01,34.90191809561218
8,SPARR,1,200,0.01,34.90181535073464
8,LP0,1,200,0.03,34.90191809561218
8,LP1,1,200,0.03,34.90191809561218
8,SPARR,1,200,0.03,16.071678272445826
8,LP0,1,200,0.05,34.90191809561218
8,LP1,1,200,0.05,34.90191809561218
8,SPARR,1,200,0.05,2.4877731818204505
8,LP0,1,200,0.06999999999999999,3.7758447468881218
8,LP1,1,200,0.06999999999999999,197.6400615069001
8,SPARR,1,200,0.06999999999999999,0.791776403225895
8,LP0,1,200,0.09,1.1846458499252277
8,LP1,1,200,0.09,58.54300121172099
8,SPARR,1,200,0.09,0.9139592749503794
8,LP0,1,200,0.11,1.1107801858442539
8,LP1,1,200,0.11,21.77659383378669
8,SPARR,1,200,0.11,1.6455886173683283
8,LP0,1,200,0.13,0.22731720185190107
8,LP1,1,200,0.13,50.598487230549125
8,SPARR,1,200,0.13,2.798416326267136
8,LP0,1,200,0.15000000000000002,0.053676952600412046
8,LP1,1,200,0.15000000000000002,7.309679729613146
8,SPARR,1,200,0.15000000000000002,4.239704199449679
8,LP0,1,200,0.17,1.3068368626031834
8,LP1,1,200,0.17,0.04758893399637148
8,SPARR,1,200,0.17,5.8516571334841405
8,LP0,1,200,0.19,3.3022911924368
8,LP1,1,200,0.19,2.1176952478605857
8,SPARR,1,200,0.19,7.5327311378431965
8,LP0,1,200,0.21000000000000002,4.451941177782721
8,LP1,1,200,0.21000000000000002,1.7426821997401574
8,SPARR,1,200,0.21000000000000002,9.199341618396005
8,LP0,1,200,0.23,6.519969607246108
8,LP1,1,200,0.23,2.645916265303873
8,SPARR,1,200,0.23,10.788373720343996
8,LP0,1,200,0.25,5.9337563614509365
8,LP1,1,200,0.25,0.18400362279246207
8,SPARR,1,200,0.25,12.256165244607017
9,LP0,1,200,0.01,34.90191809561218
9,LP1,1,200,0.01,34.90191809561218
9,SPARR,1,200,0.01,61.44675366631845
9,LP0,1,200,0.03,222.14732227732765
9,LP1,1,200,0.03,18.12049703980813
9,SPARR,1,200,0.03,9.347227192108747
9,LP0,1,200,0.05,3.1446316049381084
9,LP1,1,200,0.05,499.55777551228897
9,SPARR,1,200,0.05,0.5397807538022507
9,LP0,1,200,0.06999999999999999,3.7758447468881218
9,LP1,1,200,0.06999999999999999,213.18094675642942
9,SPARR,1,200,0.06999999999999999,2.009906925916377
9,LP0,1,200,0.09,1.1846458499252277
9,LP1,1,200,0.09,4.412772708918362
9,SPARR,1,200,0.09,2.8530529373635902
9,LP0,1,200,0.11,0.0600057655153722
9,LP1,1,200,0.11,1.8383777816803437
9,SPARR,1,200,0.11,3.9909051793452526
9,LP0,1,200,0.13,0.4679265949661295
9,LP1,1,200,0.13,0.021988180971663423
9,SPARR,1,200,0.13,5.45781702956757
9,LP0,1,200,0.15000000000000002,2.376384064809901
9,LP1,1,200,0.15000000000000002,2.922770013216953
9,SPARR,1,200,0.15000000000000002,7.081948399116872
9,LP0,1,200,0.17,4.683582265965364
9,LP1,1,200,0.17,4.226843660500716
9,SPARR,1,200,0.17,8.71973627544152
9,LP0,1,200,0.19,4.367786448662695
9,LP1,1,200,0.19,0.5078495672408507
9,SPARR,1,200,0.19,10.292093642986089
9,LP0,1,200,0.21000000000000002,3.559112633021035
9,LP1,1,200,0.21000000000000002,0.16144454469322359
9,SPARR,1,200,0.21000000000000002,11.764480724178195
9,LP0,1,200,0.23,6.519969607246108
9,LP1,1,200,0.23,0.7564576107274641
9,SPARR,1,200,0.23,13.12201237152227
9,LP0,1,200,0.25,7.571046113141784
9,LP1,1,200,0.25,0.33019807479899427
9,SPARR,1,200,0.25,14.35438068462259
10,LP0,1,200,0.01,34.90191809561218
10,LP1,1,200,0.01,34.90191809561218
10,SPARR,1,200,0.01,34.901918095232716
10,LP0,1,200,0.03,34.90191809561218
10,LP1,1,200,0.03,34.90191809561218
10,SPARR,1,200,0.03,32.022126823997425
10,LP0,1,200,0.05,34.90191809561218
10,LP1,1,200,0.05,34.90191809561218
10,SPARR,1,200,0.05,24.51421197144838
10,LP0,1,200,0.06999999999999999,34.90191809561218
10,LP1,1,200,0.06999999999999999,34.90191809561218
10,SPARR,1,200,0.06999999999999999,19.505376589423918
10,LP0,1,200,0.09,22.117663396634857
10,LP1,1,200,0.09,54.159116200896136
10,SPARR,1,200,0.09,15.867500602020263
10,LP0,1,200,0.11,18.40268328991913
10,LP1,1,200,0.11,38.39645261404557
10,SPARR,1,200,0.11,13.641277397129139
10,LP0,1,200,0.13,22.533581709177213
10,LP1,1,200,0.13,19.902415518679508
10,SPARR,1,200,0.13,12.666731933312187
10,LP0,1,200,0.15000000000000002,13.873155505191045
10,LP1,1,200,0.15000000000000002,46.439009540474686
10,SPARR,1,200,0.15000000000000002,12.52969447960534
10,LP0,1,200,0.17,8.092988466734015
10,LP1,1,200,0.17,57.58517049455793
10,SPARR,1,200,0.17,12.873776923792152
10,LP0,1,200,0.19,8.456683535042494
10,LP1,1,200,0.19,36.556950242296374
10,SPARR,1,200,0.19,13.471245422245262
10,LP0,1,200,0.21000000000000002,9.021418210220366
10,LP1,1,200,0.21000000000000002,25.314624032062362
10,SPARR,1,200,0.21000000000000002,14.188507877430656
10,LP0,1,200,0.23,8.562236424698348
10,LP1,1,200,0.23,23.77219040204767
10,SPARR,1,200,0.23,14.945909629491817
10,LP0,1,200,0.25,9.407571764206486
10,LP1,1,200,0.25,16.3473068953605
10,SPARR,1,200,0.25,15.692873713237143
11,LP0,1,200,0.01,34.90191809561218
11,LP1,1,200,0.01,34.90191809561218
11,SPARR,1,200,0.01,34.901843144634505
11,LP0,1,200,0.03,34.90191809561218
11,LP1,1,200,0.03,34.90191809561218
11,SPARR,1,200,0.03,23.68117999059167
11,LP0,1,200,0.05,34.90191809561218
11,LP1,1,200,0.05,34.90191809561218
11,SPARR,1,200,0.05,12.153835394985935
11,LP0,1,200,0.06999999999999999,15.409306216402124
11,LP1,1,200,0.06999999999999999,57.10511394713302
11,SPARR,1,200,0.06999999999999999,7.174320453301724
11,LP0,1,200,0.09,12.236699789361259
11,LP1,1,200,0.09,49.8097568379749
11,SPARR,1,200,0.09,6.3041868157403
11,LP0,1,200,0.11,7.138970653329821
11,LP1,1,200,0.11,47.69545766421083
11,SPARR,1,200,0.11,7.0774314800115805
11,LP0,1,200,0.13,3.403586431040519
11,LP1,1,200,0.13,43.263425790761694
11,SPARR,1,200,0.13,8.481288883012828
11,LP0,1,200,0.15000000000000002,3.9131790608829298
11,LP1,1,200,0.15000000000000002,23.034560205986576
11,SPARR,1,200,0.15000000000000002,10.070834130681495
11,LP0,1,200,0.17,4.683582265965364
11,LP1,1,200,0.17,12.726084617465972
11,SPARR,1,200,0.17,11.642270296204972
11,LP0,1,200,0.19,4.367786448662695
11,LP1,1,200,0.19,10.8229399850934
11,SPARR,1,200,0.19,13.110880280146802
11,LP0,1,200,0.21000000000000002,7.729324524102318
11,LP1,1,200,0.21000000000000002,1.7138857993788483
11,SPARR,1,200,0.21000000000000002,14.447585088901013
11,LP0,1,200,0.23,9.687552616042138
11,LP1,1,200,0.23,0.7086923963654184
11,SPARR,1,200,0.23,15.644736740618178
11,LP0,1,200,0.25,12.53592755212951
11,LP1,1,200,0.25,0.06916192268258102
11,SPARR,1,200,0.25,16.70056132343669
12,LP0,1,200,0.01,5912.398629934976
12,LP1,1,200,0.01,30803.117804598354
12,SPARR,1,200,0.01,464.1576015200558
12,LP0,1,200,0.03,222.14732227732765
12,LP1,1,200,0.03,2093.4558505581754
12,SPARR,1,200,0.03,7.3531892898780935
12,LP0,1,200,0.05,3.1446316049381084
12,LP1,1,200,0.05,1031.701123653227
12,SPARR,1,200,0.05,0.27596710215221026
